epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,965.239,1.29222,1.60055,1.29738,1.50122,0.69409,0.43155,0.48268,0.25047,0.67382,0.40073,0.4453,0.17779,1.54924,1.4855,1.48984,1.77689,0.00046507,0.00046507,0.00046507
31,997.036,1.25992,1.58175,1.266,1.48038,0.6642,0.49097,0.46351,0.23751,0.61773,0.45725,0.41151,0.17549,1.56056,1.48677,1.49585,1.79985,0.000452383,0.000452383,0.000452383
32,1029.76,1.26251,1.5363,1.22382,1.47604,0.61347,0.5194,0.47969,0.24981,0.60661,0.49084,0.45356,0.18418,1.57134,1.46653,1.50211,1.80512,0.000439696,0.000439696,0.000439696
33,1061.39,1.24574,1.51886,1.22234,1.46922,0.51222,0.37944,0.4078,0.22108,0.67585,0.34019,0.38097,0.14375,1.60476,1.76156,1.80037,1.85473,0.000427009,0.000427009,0.000427009
34,1094.76,1.239,1.51578,1.2148,1.46136,0.68691,0.4928,0.49263,0.2717,0.69041,0.46595,0.46934,0.20476,1.52655,1.44785,1.43132,1.79449,0.000414321,0.000414321,0.000414321
35,1126.45,1.22286,1.5116,1.20385,1.43502,0.66943,0.48992,0.48283,0.26314,0.65038,0.47078,0.45445,0.19815,1.5165,1.43661,1.44628,1.76847,0.000401634,0.000401634,0.000401634
36,1158.39,1.22211,1.4808,1.18093,1.44442,0.65551,0.49264,0.47318,0.24971,0.6385,0.4545,0.43431,0.17804,1.5259,1.41727,1.46275,1.77661,0.000388947,0.000388947,0.000388947
37,1190.07,1.21093,1.48442,1.19475,1.43763,0.68747,0.47482,0.48707,0.25542,0.67441,0.4568,0.45392,0.18821,1.53923,1.43407,1.43232,1.79652,0.00037626,0.00037626,0.00037626
38,1221.28,1.19499,1.44894,1.16332,1.43124,0.66862,0.47511,0.47976,0.24463,0.67409,0.44711,0.46519,0.18839,1.56272,1.47469,1.43626,1.80878,0.000363572,0.000363572,0.000363572
39,1252.2,1.20925,1.46385,1.16723,1.42383,0.65403,0.47318,0.4836,0.25046,0.6545,0.4697,0.46218,0.187,1.55338,1.46053,1.42164,1.80349,0.000350885,0.000350885,0.000350885
40,1283.08,1.2027,1.49405,1.16601,1.42945,0.65685,0.49612,0.46827,0.24473,0.64578,0.47372,0.43798,0.18924,1.56479,1.46177,1.50318,1.81089,0.000338198,0.000338198,0.000338198
41,1313.89,1.19876,1.46974,1.19403,1.42739,0.65162,0.48135,0.48802,0.25584,0.65091,0.46861,0.46358,0.18743,1.49323,1.44529,1.42549,1.76194,0.000325511,0.000325511,0.000325511
42,1346.18,1.1771,1.4626,1.11057,1.41085,0.66967,0.50701,0.49076,0.26812,0.68233,0.45036,0.46408,0.19537,1.49268,1.47469,1.43269,1.74699,0.000312824,0.000312824,0.000312824
