epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,775.911,1.4236,1.77021,1.51609,1.54034,0.62119,0.39059,0.40975,0.21423,0.6015,0.39148,0.38561,0.16504,1.62701,1.72293,1.69743,1.75983,0.000593846,0.000593846,0.000593846
31,800.416,1.44148,1.78842,1.53772,1.52899,0.63488,0.40582,0.43528,0.24659,0.61375,0.36393,0.38331,0.16073,1.56372,1.66237,1.5647,1.71428,0.000585599,0.000585599,0.000585599
32,824.942,1.38996,1.71644,1.48992,1.507,0.687,0.40017,0.42634,0.22993,0.67252,0.38502,0.39625,0.17108,1.62581,1.7101,1.61574,1.75604,0.000577352,0.000577352,0.000577352
33,848.708,1.36849,1.70078,1.46458,1.49785,0.6081,0.36529,0.38876,0.2095,0.58606,0.34099,0.34671,0.13819,1.69483,1.94412,1.89939,1.80841,0.000569106,0.000569106,0.000569106
34,874.958,1.39032,1.69073,1.43465,1.49972,0.65524,0.37814,0.41545,0.22942,0.63342,0.36006,0.37317,0.15581,1.56437,1.72482,1.60744,1.69269,0.000560859,0.000560859,0.000560859
35,899.536,1.36551,1.69307,1.42029,1.48598,0.67419,0.38481,0.41945,0.22197,0.61883,0.36243,0.38397,0.14747,1.63604,1.76927,1.69727,1.77396,0.000552612,0.000552612,0.000552612
36,923.603,1.38579,1.70177,1.43345,1.49473,0.6606,0.41321,0.4585,0.24361,0.6472,0.39381,0.41653,0.16822,1.57902,1.6439,1.53472,1.70218,0.000544365,0.000544365,0.000544365
37,947.714,1.37374,1.71372,1.44292,1.49822,0.65271,0.4499,0.43833,0.23834,0.62163,0.41574,0.38503,0.16462,1.59137,1.71713,1.56838,1.732,0.000536119,0.000536119,0.000536119
38,971.494,1.35321,1.6995,1.41193,1.49557,0.68906,0.3937,0.45361,0.25006,0.62368,0.40053,0.39529,0.16988,1.55446,1.63827,1.49953,1.67926,0.000527872,0.000527872,0.000527872
39,995.546,1.34523,1.63253,1.40142,1.45965,0.62964,0.44047,0.42732,0.23777,0.61202,0.40759,0.3869,0.15684,1.52128,1.64216,1.5336,1.68903,0.000519625,0.000519625,0.000519625
40,1019.65,1.33018,1.66424,1.36312,1.47551,0.6447,0.41906,0.42829,0.231,0.62465,0.38539,0.38019,0.14462,1.59767,1.75718,1.60316,1.71935,0.000511379,0.000511379,0.000511379
41,1043.45,1.33242,1.65553,1.4039,1.46757,0.6583,0.42023,0.45796,0.25948,0.63308,0.39627,0.39979,0.17039,1.56686,1.62798,1.49209,1.70445,0.000503132,0.000503132,0.000503132
42,1068.04,1.34759,1.6697,1.37223,1.47768,0.67157,0.43782,0.45619,0.25278,0.65317,0.41515,0.41331,0.17959,1.57713,1.59171,1.49918,1.70539,0.000494885,0.000494885,0.000494885
43,1096.05,1.34771,1.61734,1.36641,1.47193,0.65573,0.45024,0.45472,0.25356,0.62489,0.42687,0.40391,0.16757,1.52326,1.58744,1.53493,1.68893,0.000486639,0.000486639,0.000486639
